{6.01, {-35.2390756653936, -35.1975609212375}}
{6.06, {-35.50117170316665, -35.459886844713694}}
{6.109999999999999, {-35.763273967867576, -35.72221540679868}}
{6.16, {-36.02538231654419, -35.98454654789895}}
{6.21, {-36.28749661058739, -36.246880210204566}}
{6.26, {-36.549616715569734, -36.509216337621396}}
{6.31, {-36.81174250108598, -36.771554875708084}}
{6.359999999999999, {-37.07387384060573, -37.03389577161572}}
{6.41, {-37.336010611329684, -37.296238974030466}}
{6.46, {-37.59815269405379, -37.55858443311774}}
{6.51, {-37.8602999730373, -37.820932100468056}}
{6.56, {-38.122452335879935, -38.0832819290502}}
{6.609999999999999, {-38.384609673400114, -38.34563387315758}}
{6.66, {-38.64677187952213, -38.607987888365486}}
{6.71, {-38.908938851165026, -38.87034393148525}}
{6.76, {-39.17111048813918, -39.132701960520635}}
{6.81, {-39.43328669304441, -39.395061934628764}}
{6.859999999999999, {-39.69546737117414, -39.65742381407955}}
{6.91, {-39.95765243042286, -39.91978756021791}}
{6.96, {-40.21984178119703, -40.18215313542848}}
{7.01, {-40.48203533633045, -40.444520503100605}}
{7.06, {-40.74423301100236, -40.70688962759376}}
{7.109999999999999, {-41.0064347226594, -40.969260474208305}}
{7.16, {-41.2686403909396, -41.23163300915131}}
{7.21, {-41.53084993760106, -41.49400719951021}}
{7.26, {-41.79306328645263, -41.75638301322234}}
{7.31, {-42.055280363283984, -42.018760419046956}}
{7.359999999999999, {-42.31750109580809, -42.28113938654287}}
{7.41, {-42.57972541359156, -42.54351988603788}}
{7.46, {-42.841953248002255, -42.805901888609334}}
{7.51, {-43.10418453214796, -43.06828536605728}}
{7.56, {-43.36641920082291, -43.330670290883525}}
{7.609999999999999, {-43.62865719045559, -43.593056636269445}}
{7.66, {-43.89089843905609, -43.855444376055154}}
{7.71, {-44.15314288616949, -44.11783348472023}}
{7.76, {-44.41539047282693, -44.38022393736309}}
{7.81, {-44.677641141500544, -44.64261570968247}}
{7.859999999999999, {-44.93989483606004, -44.90500877796037}}
{7.91, {-45.20215150172975, -45.16740311904359}}
{7.96, {-45.46441108505031, -45.42979871032825}}
{8.01, {-45.72667353383651, -45.692195529742726}}
{8.06, {-45.98893879713982, -45.9545935557306}}
{8.11, {-46.25120682521439, -46.21699276723958}}
{8.16, {-46.5134775694797, -46.479393143703355}}
{8.21, {-46.77575098248658, -46.74179466502813}}
{8.26, {-47.038027017886016, -47.004197311581734}}
{8.31, {-47.30030563039452, -47.266601064175596}}
{8.36, {-47.56258677576822, -47.529005904059304}}
{8.41, {-47.82487041076888, -47.79141181290051}}
{8.46, {-48.08715649313735, -48.053818772777575}}
{8.51, {-48.3494449815656, -48.316226766169216}}
{8.56, {-48.61173583567211, -48.578635775940754}}
{8.61, {-48.87402901597149, -48.84104578533329}}
{8.66, {-49.13632448385427, -49.1034567779551}}
{8.71, {-49.39862220156052, -49.3658687377718}}
{8.76, {-49.66092213215791, -49.628281649095825}}
{8.81, {-49.923224239516564, -49.89069549657631}}
{8.86, {-50.18552848829018, -50.15311026519125}}
{8.91, {-50.44783484389422, -50.41552594023972}}
{8.96, {-50.710143272484316, -50.67794250732994}}
{9.01, {-50.97245374093784, -50.94035995237522}}
{9.06, {-51.23476621683392, -51.20277826158294}}
{9.11, {-51.49708066843573, -51.465197421448586}}
{9.16, {-51.75939706467201, -51.72761741874807}}
{9.21, {-52.021715375119854, -51.990038240528854}}
{9.26, {-52.28403556998747, -52.25245987410497}}
{9.31, {-52.54635762009822, -52.51488230704929}}
{9.36, {-52.80868149687618, -52.77730552718807}}
{9.41, {-53.07100717232773, -53.039729522591905}}
{9.46, {-53.33333461902992, -53.30215428157416}}
{9.51, {-53.59566381011364, -53.56457979267822}}
{9.56, {-53.85799471925101, -53.827006044678555}}
{9.61, {-54.12032732064154, -54.08943302657023}}
{9.66, {-54.382661588998296, -54.35186072756684}}
{9.71, {-54.644997499537254, -54.61428913709272}}
{9.76, {-54.907335027961416, -54.87671824477792}}
{9.81, {-55.169674150453574, -55.13914804045626}}
{9.86, {-55.43201484365894, -55.401578514155396}}
{9.91, {-55.69435708467859, -55.664009656095416}}
{9.96, {-55.95670085105624, -55.92644145668621}}
