{0., {-7.2250000000000325, -6.725000000000076}}
{0.01, {-7.210000000000034, -6.725645415039093}}
{0.02, {-7.195000000000026, -6.727373918504548}}
{0.03, {-7.180000000000022, -6.729942404151005}}
{0.04, {-7.165000000000049, -6.7331808457885245}}
{0.05, {-7.150000000000033, -6.736969547512269}}
{0.06, {-7.135000000000033, -6.7412220833331515}}
{0.07, {-7.120000000000048, -6.74587401691703}}
{0.08, {-7.1050000000000555, -6.750875715385044}}
{0.09, {-7.090000000000058, -6.756187780507606}}
{0.1, {-7.075000000000086, -6.761778103876032}}
{0.11, {-7.060000000000043, -6.767619928444399}}
{0.12, {-7.045000000000027, -6.77369054099304}}
{0.13, {-7.030000000000053, -6.779970367147617}}
{0.14, {-7.01500000000007, -6.78644232852937}}
{0.15, {-7.000000000000061, -6.793091374315441}}
{0.16, {-6.985000000000043, -6.799904131423588}}
{0.17, {-6.970000000000041, -6.806868637171948}}
{0.18, {-6.955000000000036, -6.813974130540974}}
{0.19, {-6.940000000000053, -6.821210885969782}}
{0.2, {-6.9250000000000504, -6.828570078668793}}
{0.21, {-6.910000000000013, -6.836043673752365}}
{0.22, {-6.895000000000036, -6.843624333715625}}
{0.23, {-6.880000000000012, -6.851305340289943}}
{0.24, {-6.865000000000038, -6.859080527755082}}
{0.25, {-6.866944225515378, -6.850000000000035}}
{0.26, {-6.874891208271714, -6.835000000000049}}
{0.27, {-6.882916652494969, -6.820000000000089}}
{0.28, {-6.891016098184762, -6.805000000000135}}
{0.29, {-6.899185415105217, -6.812401647729583}}
{0.3, {-6.907420772842205, -6.834682758211856}}
{0.31, {-6.915718614148912, -6.857032080811057}}
{0.32, {-6.924075631138563, -6.879446919475272}}
{0.33, {-6.9324887439564264, -6.901924731660008}}
{0.34, {-6.940955081620844, -6.924463116112445}}
{0.35000000000000003, {-6.949471964771973, -6.94705980196824}}
{0.36, {-6.9697126389803365, -6.958036890102906}}
{0.37, {-6.99241958873036, -6.966647516281143}}
{0.38, {-7.015178716695694, -6.975301651193513}}
{0.39, {-7.037988185065995, -6.983997240370195}}
{0.4, {-7.060846246218829, -6.9927323564614206}}
{0.41000000000000003, {-7.083751236776771, -7.001505189656443}}
{0.42, {-7.106701572180032, -7.010314038948121}}
{0.43, {-7.129695741717666, -7.019157304156651}}
{0.44, {-7.152732303967483, -7.028033478637414}}
{0.45, {-7.1758098826026675, -7.036941142605691}}
{0.46, {-7.198927162526946, -7.045878957018786}}
{0.47000000000000003, {-7.222082886305976, -7.054845657961639}}
{0.48, {-7.245275850866354, -7.063840051489768}}
{0.49, {-7.268504904436676, -7.072861008886601}}
{0.5, {-7.2917689437082815, -7.081907462296395}}
{0.51, {-7.315066911196102, -7.090978400700683}}
{0.52, {-7.338397792781789, -7.100072866205564}}
{0.53, {-7.361760615423204, -7.109189950613908}}
{0.54, {-7.385154445016581, -7.118328792256647}}
{0.55, {-7.408578384398433, -7.127488573061149}}
{0.56, {-7.4320315714760445, -7.136668515836844}}
{0.5700000000000001, {-7.455513177475974, -7.145867881758964}}
{0.58, {-7.479022405301813, -7.155085968034604}}
{0.59, {-7.502558487992769, -7.1643221057358}}
{0.6, {-7.526120687274826, -7.173575657785612}}
{0.61, {-7.549708292198503, -7.182846017085657}}
{0.62, {-7.573320617856557, -7.192132604773026}}
{0.63, {-7.59695700417567, -7.201434868596746}}
{0.64, {-7.6206168147772, -7.210752281404536}}
{0.65, {-7.644299435902341, -7.220084339730639}}
{0.66, {-7.668004275396622, -7.229430562477856}}
{0.67, {-7.691730761750896, -7.238790489686176}}
{0.68, {-7.715478343193556, -7.2481636813811585}}
{0.6900000000000001, {-7.739246486832329, -7.257549716497008}}
{0.7000000000000001, {-7.763034677840941, -7.266948191867983}}
{0.71, {-7.786842418688694, -7.286842418688798}}
{0.72, {-7.810669228410052, -7.310669228410113}}
{0.73, {-7.834514641911631, -7.334514641911717}}
{0.74, {-7.858378209314259, -7.3583782093143535}}
{0.75, {-7.8822594953285385, -7.382259495328641}}
{0.76, {-7.906158078660662, -7.4061580786607815}}
{0.77, {-7.93007355144855, -7.430073551448619}}
{0.78, {-7.954005518724507, -7.454005518724615}}
{0.79, {-7.977953597904459, -7.477953597904553}}
{0.8, {-8.001917418301343, -7.5019174183013915}}
{0.81, {-8.025896620661783, -7.525896620661832}}
{0.8200000000000001, {-8.04989085672418, -7.549890856724238}}
{0.8300000000000001, {-8.073899788797933, -7.573899788798001}}
{0.84, {-8.097923089361379, -7.597923089361462}}
{0.85, {-8.12196044067879, -7.621960440678862}}
{0.86, {-8.146011534434285, -7.6460115344343516}}
{0.87, {-8.170076071382542, -7.6700760713825975}}
{0.88, {-8.19415376101476, -7.694153761014817}}
{0.89, {-8.218244321239656, -7.7182443212397045}}
{0.9, {-8.242347478078369, -7.742347478078458}}
{0.91, {-8.266462965372732, -7.766462965372768}}
{0.92, {-8.2905905245058, -7.790590524505854}}
{0.93, {-8.31472990413503, -7.814729904135108}}
{0.9400000000000001, {-8.338880859935994, -7.838880859936053}}
{0.9500000000000001, {-8.363043154357639, -7.863043154357678}}
{0.96, {-8.387216556387223, -7.887216556387291}}
{0.97, {-8.41140084132559, -7.911400841325645}}
{0.98, {-8.435595790570964, -7.935595790571029}}
{0.99, {-8.459801191412515, -7.959801191412573}}
{1., {-8.484016836831511, -7.98401683683161}}
